Player,Team,Age,Games Played,RushingAtt,RushingYDs,Y/A,RushingTD,Tgt,Rec,ReceivingYDs,Y/R,ReceivingTD,FL
Michael Crabtree,ARI,32,2,0,0,,0,5,4,22,5.5,0,0
Rashard Davis,TEN,25,1,0,0,,0,1,1,16,16.0,0,0
Robert Davis,2TM,24,6,0,0,,0,5,2,17,8.5,0,0
Ashton Dulin,IND,22,13,0,0,,0,2,2,17,8.5,0,0
Darius Jennings,TEN,27,8,0,0,,0,5,2,17,8.5,0,0
Marqise Lee,JAX,28,6,1,1,1.0,0,4,3,18,6.0,0,0
Donte Moncrief,2TM,26,8,0,0,,0,15,4,18,4.5,0,0
Chris Moore,BAL,26,14,1,0,0.0,0,5,3,21,7.0,0,0
Stanley Morgan,CIN,23,11,0,0,,0,10,3,18,6.0,0,0
Diontae Spencer,DEN,27,16,3,6,2.0,0,8,6,31,5.17,0,1
Bobo Wilson,TAM,24,6,0,0,,0,11,3,35,11.67,0,1
Austin Carr,NOR,26,6,0,0,,0,4,1,9,9.0,0,0
John Franklin,TAM,25,1,1,11,11.0,0,0,0,0,,0,0
Ryan Grant,OAK,29,2,0,0,,0,9,4,14,3.5,0,0
Dwayne Harris,OAK,32,3,0,0,,0,1,1,7,7.0,0,0
Cody Hollister,TEN,26,5,0,0,,0,2,2,13,6.5,0,0
Gunner Olszewski,NWE,23,8,0,0,,0,4,2,34,17.0,0,1
Jaleel Scott,BAL,24,3,0,0,,0,3,1,6,6.0,0,0
Jeff Smith,NYJ,22,1,0,0,,0,2,1,12,12.0,0,0
De'Anthony Thomas,2TM,26,14,2,5,2.5,0,2,1,6,6.0,0,0
Mike Thomas,LAR,25,16,0,0,,0,5,2,14,7.0,0,0
John Ursua,SEA,25,3,0,0,,0,1,1,11,11.0,0,0
Cyril Grayson,TAM,26,2,0,0,,0,1,1,3,3.0,0,0
Krishawn Hogan,NOR,24,8,0,0,,0,1,1,4,4.0,0,0
Quincy Enunwa,NYJ,27,1,0,0,,0,3,1,-4,-4.0,0,1
Darrius Shepherd,GNB,24,6,0,0,,0,2,1,1,1.0,0,1
Michael Walker,JAX,23,7,0,0,,0,3,2,15,7.5,0,2
